Nombre del archivo,Cantidad de palabras
173-PR-02123.txt,8292
173-VI-00002.txt,13670
173-VI-00011.txt,7828
173-VI-00034.txt,8616
173-VI-00040.txt,12515
173-VI-00041.txt,7037
173-VI-00050.txt,3052
174-PR-00301.txt,12922
175-VI-00021.txt,13708
175-VI-00024.txt,8678
175-VI-00025.txt,22064
175-VI-00028.txt,7723
176-VI-00015.txt,13114
176-VI-00017.txt,8746
179-VI-00006.txt,23605
182-VI-00008.txt,25222
184-VI-00006.txt,3792
184-VI-00021.txt,10222
185-VI-00001.txt,41889
185-VI-00002.txt,18863
187-PR-00084.txt,10829
187-VI-00003.txt,14725
187-VI-00008.txt,18878
187-VI-00020.txt,10966
187-VI-00023.txt,11883
187-VI-00032.txt,14721
187-VI-00033.txt,18106
188-PR-02654.txt,8088
188-VI-00013.txt,4257
188-VI-00019.txt,5605
188-VI-00036.txt,4578
188-VI-00038.txt,8260
188-VI-00039.txt,10765
189-VI-00196.txt,28709
189-VI-00198.txt,14683
190-VI-00002.txt,10581
190-VI-00006.txt,12988
190-VI-00008.txt,9188
190-VI-00021.txt,8501
190-VI-00102.txt,14326
192-VI-00009.txt,21556
193-PR-00967.txt,13844
193-VI-00023.txt,13782
193-VI-00040.txt,8598
193-VI-00052.txt,9072
194-VI-00001.txt,5848
194-VI-00022.txt,19522
194-VI-00028.txt,13768
194-VI-00052.txt,7748
194-VI-00053.txt,7902
195-PR-02498.txt,33446
195-VI-00005.txt,12904
195-VI-00007.txt,10327
195-VI-00008.txt,8535
195-VI-00024.txt,7823
196-VI-00042.txt,2885
196-VI-00051.txt,4823
196-VI-00053.txt,13151
198-VI-00022.txt,4673
199-PR-00868.txt,19682
199-VI-00001.txt,10682
199-VI-00002.txt,5451
199-VI-00003.txt,7118
199-VI-00005.txt,9398
199-VI-00009.txt,16639
199-VI-00012.txt,8368
199-VI-00039.txt,14266
199-VI-00063.txt,5163
199-VI-00064.txt,19101
199-VI-00065.txt,6631
199-VI-00066.txt,18632
200-VI-00019.txt,6760
200-VI-00026.txt,15721
200-VI-00039.txt,14776
200-VI-00077.txt,9663
202-VI-00006.txt,11141
203-VI-00007.txt,10881
204-PR-00555.txt,12749
204-VI-00015.txt,5170
204-VI-00020.txt,8882
204-VI-00022.txt,4983
204-VI-00023.txt,11749
204-VI-00025.txt,10747
205-PR-00956.txt,14145
205-VI-00002.txt,7480
205-VI-00003.txt,16950
205-VI-00005.txt,16883
205-VI-00006.txt,21083
206-VI-00014.txt,9998
208-PR-02010.txt,13776
208-PR-02911.txt,18431
208-PR-02914.txt,18096
208-PR-02916.txt,9420
208-PR-03102.txt,27601
208-VI-00005.txt,16487
208-VI-00006.txt,9450
212-VI-00011.txt,2817
212-VI-00015.txt,8698
212-VI-00020.txt,5092
212-VI-00021.txt,2786
212-VI-00024.txt,2546
212-VI-00035.txt,9404
212-VI-00039.txt,4660
212-VI-00043.txt,4816
212-VI-00045.txt,20581
212-VI-00047.txt,12248
212-VI-00049.txt,6806
212-VI-00057.txt,8649
212-VI-00061.txt,8261
215-VI-00001.txt,6815
215-VI-00002.txt,4433
215-VI-00019.txt,9717
215-VI-00021.txt,10032
215-VI-00048.txt,3631
215-VI-00052.txt,6571
215-VI-00057.txt,15766
215-VI-00060.txt,7660
216-VI-00002.txt,6096
216-VI-00007.txt,9067
216-VI-00012.txt,14660
216-VI-00014.txt,8064
216-VI-00018.txt,9988
216-VI-00040.txt,11451
