Nombre del archivo;Cantidad de palabras
126-VI-00030.txt;10645
126-VI-00039.txt;16527
126-VI-00040.txt;14072
126-VI-00049.txt;20372
126-VI-00059.txt;11933
126-VI-00065.txt;18155
1266-VI-00004.txt;18155
1314-VI-00003.txt;6898
136-VI-00039.txt;18349
138-VI-00007.txt;12895
139-VI-00038.txt;12241
139-VI-00072.txt;5832
139-VI-00079.txt;11853
139-VI-00081.txt;20718
139-VI-00091.txt;26475
139-VI-00115.txt;10491
140-VI-00003.txt;16555
140-VI-00006.txt;26536
140-VI-00011.txt;11291
140-VI-00016.txt;13775
140-VI-00032.txt;11638
140-VI-00046.txt;27232
140-VI-00073.txt;9411
140-VI-00077.txt;11867
140-VI-00095.txt;13333
141-VI-00014.txt;20551
143-PR-00186.txt;15912
143-PR-02663.txt;8200
145-PR-03539.txt;8283
145-VI-00001.txt;9929
145-VI-00005.txt;10521
145-VI-00006.txt;14783
145-VI-00010.txt;26791
145-VI-00011.txt;20977
149-VI-00004.txt;7891
149-VI-00007.txt;4197
149-VI-00008.txt;10784
149-VI-00010.txt;11121
149-VI-00011.txt;15520
150-PR-00657.txt;15721
150-PR-00732.txt;8681
150-PR-02223.txt;11519
153-VI-00002.txt;9070
153-VI-00004.txt;22604
155-VI-00001.txt;8531
155-VI-00002.txt;9140
155-VI-00004.txt;12624
156-PR-00210.txt;16924
156-VI-00003.txt;15510
156-VI-00006.txt;10329
156-VI-00007.txt;15874
156-VI-00013.txt;14374
158-VI-00015.txt;7031
158-VI-00031.txt;13704
158-VI-00054.txt;5209
159-VI-00017.txt;21274
160-VI-00058.txt;13141
163-VI-00021.txt;19771
165-VI-00001.txt;26261
166-PR-00393.txt;18924
166-PR-00819.txt;9376
166-VI-00009.txt;20024
166-VI-00010.txt;16710
167-VI-00004.txt;5252
167-VI-00005.txt;9988
168-VI-00021.txt;21359
168-VI-00052.txt;18898
171-VI-00002.txt;18672
171-VI-00004.txt;11290
171-VI-00009.txt;7300
172-VI-00004.txt;3777
172-VI-00005.txt;11689
172-VI-00006.txt;12871
172-VI-00007.txt;22147
173-PR-00134.txt;11556
173-PR-00141.txt;10848
173-PR-00142.txt;13138
173-PR-02585.txt;14355
173-VI-00023.txt;16386
173-VI-00034.txt;8616
173-VI-00050.txt;3052
176-VI-00025.txt;14072
179-VI-00006.txt;23605
182-VI-00001.txt;17334
182-VI-00005.txt;34772
182-VI-00008.txt;25222
182-VI-00011.txt;19721
187-PR-00084.txt;10829
187-PR-00412.txt;15294
187-PR-00549.txt;13913
187-VI-00003.txt;14725
187-VI-00008.txt;18878
187-VI-00020.txt;10966
187-VI-00023.txt;11883
187-VI-00032.txt;14721
187-VI-00033.txt;18106
188-VI-00019.txt;5605
188-VI-00038.txt;8260
189-VI-00196.txt;28709
189-VI-00198.txt;14683
190-VI-00002.txt;10581
190-VI-00006.txt;12988
190-VI-00015.txt;10028
190-VI-00021.txt;8501
190-VI-00023.txt;8008
190-VI-00060.txt;10324
190-VI-00075.txt;4724
190-VI-00077.txt;12285
190-VI-00102.txt;14326
193-VI-00042.txt;10883
193-VI-00052.txt;9072
194-VI-00002.txt;23867
194-VI-00086.txt;12639
195-PR-02498.txt;33446
195-VI-00005.txt;12904
195-VI-00037.txt;9157
199-VI-00009.txt;16639
199-VI-00079.txt;12510
200-AA-00002.txt;16504
200-PR-00257.txt;35361
200-PR-00847.txt;10872
200-PR-02589.txt;14371
200-VI-00019.txt;6760
200-VI-00039.txt;14776
200-VI-00049.txt;19510
200-VI-00057.txt;9025
202-VI-00002.txt;8796
202-VI-00004.txt;5869
202-VI-00005.txt;13944
202-VI-00006.txt;11141
202-VI-00008.txt;9759
202-VI-00014.txt;1793
203-PR-00198.txt;13963
203-VI-00007.txt;10881
203-VI-00026.txt;29839
204-PR-00555.txt;12749
204-PR-00563.txt;13586
204-PR-00936.txt;32948
205-VI-00002.txt;7480
205-VI-00003.txt;16950
205-VI-00004.txt;12336
205-VI-00005.txt;16883
205-VI-00006.txt;21083
206-VI-00031.txt;13667
208-VI-00006.txt;9450
212-VI-00023.txt;5243
212-VI-00024.txt;2546
212-VI-00039.txt;4660
215-AA-00001.txt;4296
215-AA-00002.txt;12405
215-VI-00019.txt;9717
215-VI-00021.txt;10032
215-VI-00048.txt;3631
215-VI-00060.txt;7660
215-VI-00064.txt;15795
216-AA-00004.txt;8340
216-AA-00005.txt;14633
216-AA-00008.txt;18171
216-AA-00010.txt;9900
216-VI-00014.txt;8064
216-VI-00040.txt;11451
216-VI-00041.txt;6533
216-VI-00043.txt;10358
216-VI-00046.txt;7879
216-VI-00062.txt;6771
216-VI-00139.txt;28232
217-PR-00093.txt;5839
220-VI-00015.txt;11246
221-VI-00012.txt;16913
221-VI-00045.txt;13805
221-VI-00059.txt;19830
222-VI-00030.txt;8437
222-VI-00035.txt;19948
222-VI-00037.txt;8647
222-VI-00046.txt;9840
222-VI-00048.txt;13637
222-VI-00056.txt;16373
222-VI-00065.txt;13580
222-VI-00067.txt;5320
224-VI-00004.txt;4443
224-VI-00006.txt;5378
224-VI-00015.txt;19117
224-VI-00016.txt;17399
224-VI-00017.txt;5573
224-VI-00029.txt;2009
224-VI-00034.txt;9352
224-VI-00035.txt;6819
225-VI-00011.txt;8122
225-VI-00027.txt;17337
225-VI-00030.txt;11224
227-VI-00017.txt;10228
227-VI-00018.txt;5096
227-VI-00043.txt;10326
227-VI-00047.txt;8034
228-VI-00038.txt;5649
228-VI-00068.txt;7896
229-VI-00050.txt;12038
